latitude,longitude,elevation
nan,nan,nan
nan,nan,nan
nan,nan,nan
nan,nan,nan
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085476667,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085475000,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.7
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531135000,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531133333,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085473333,-88.531131667,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531130000,242.6
44.085471667,-88.531128333,242.6
44.085471667,-88.531128333,242.6
44.085471667,-88.531128333,242.6
44.085471667,-88.531128333,242.6
44.085470000,-88.531128333,242.6
44.085470000,-88.531128333,242.6
44.085470000,-88.531128333,242.6
44.085470000,-88.531126667,242.6
44.085470000,-88.531126667,242.6
44.085470000,-88.531126667,242.6
44.085470000,-88.531126667,242.6
44.085470000,-88.531126667,242.6
44.085470000,-88.531126667,242.6
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085468333,-88.531125000,242.5
44.085466667,-88.531125000,242.5
44.085466667,-88.531125000,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085466667,-88.531123333,242.5
44.085465000,-88.531123333,242.5
44.085465000,-88.531123333,242.5
44.085465000,-88.531123333,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085465000,-88.531121667,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085463333,-88.531120000,242.5
44.085461667,-88.531118333,242.5
44.085461667,-88.531118333,242.5
44.085461667,-88.531118333,242.5
44.085461667,-88.531118333,242.5
44.085461667,-88.531118333,242.5
44.085461667,-88.531118333,242.5
