latitude, longitude,alt
45.632078333,-122.252486667,177.949369735
45.632078333,-122.252486667,180.203949267
45.632078333,-122.252486667,182.133373359
45.632078333,-122.252486667,185.126697756
45.632078333,-122.252486667,186.954757764
45.632078333,-122.252486667,189.135519945
45.632078333,-122.252486667,191.124928649
45.632078333,-122.252486667,193.948183066
45.632078333,-122.252486667,195.955663175
45.632078333,-122.252486667,198.134786426
45.632078333,-122.252486667,200.378817965
45.632078333,-122.252486667,202.946790647
45.632078333,-122.252486667,205.201985181
45.632078333,-122.252486667,207.126660961
45.632078333,-122.252486667,210.124702556
45.632078333,-122.252486667,211.944708976
45.632078333,-122.252486667,214.124722986
45.632078333,-122.252486667,216.124374202
45.632078333,-122.252488333,218.951765233
45.632078333,-122.252488333,220.943215161
45.632078333,-122.252488333,223.132398173
45.632078333,-122.252488333,225.380323847
45.632078333,-122.252488333,227.942497923
45.632078333,-122.252488333,230.200383141
45.632078333,-122.252488333,232.123417687
45.632078333,-122.252488333,235.113319944
45.632078333,-122.252488333,236.937337532
45.632078333,-122.252488333,239.13021213
45.632078333,-122.252488333,241.1200917
45.632078333,-122.252488333,243.941500758
45.632078333,-122.252488333,245.940058673
45.632078333,-122.252488333,248.117017273
45.632078333,-122.252488333,250.376819854
45.632078333,-122.252488333,252.944978975
45.632078333,-122.252488333,255.193209618
45.632078333,-122.252488333,257.119911695
45.632078333,-122.252488333,260.111937745
45.632078333,-122.252488333,261.944146582
45.632078333,-122.252488333,264.116922537
45.632078333,-122.252488333,266.118548172
45.632078333,-122.252488333,268.927078469
45.632078333,-122.252488333,270.936745776
45.632078333,-122.252488333,273.102375706
45.632078333,-122.252486667,275.353352943
45.632078333,-122.252486667,277.9256695
45.632078333,-122.252486667,280.181209437
45.632078333,-122.252486667,282.103238986
45.632078333,-122.252486667,285.095250259
45.632078333,-122.252486667,286.927430474
45.632078333,-122.252486667,289.107046026
45.632078333,-122.252486667,291.097829178
45.632078333,-122.252486667,293.931319452
45.632078333,-122.252486667,295.926826027
45.632078333,-122.252486667,298.101046221
45.632078333,-122.252486667,300.348906787
45.632078333,-122.252486667,302.922651635
45.632078333,-122.252486667,305.176161015
45.632078333,-122.252486667,307.107722321
45.632078333,-122.252486667,310.098911221
45.632078333,-122.252486667,311.91989165
45.632078333,-122.252486667,314.107695345
45.632078333,-122.252486667,316.107474177
45.632078333,-122.252486667,318.929286481
