Time,Gx,Gy,Gz,Ax,Ay,Az,Mx,My,Mz,Latitude,Longitude,Knots
2022-11-05 12:25:42.481962,0.004399684156069039,0.0007317656499247049,0.002813434393188776,-0.0007976075333333311,0.0041475591733333705,9.82156530923333,52.2,39.5,-131.9,0,0,0
2022-11-05 12:25:42.491759,-0.0014635312998494115,0.005640504171158758,0.002949788241000833,0.0015952150666666692,-0.010209376426666639,9.79045861543333,52.2,38.0,-133.0,0,0,0
2022-11-05 12:25:42.501407,-0.003917900560466438,-0.002131665154128491,0.0018589574585043769,-0.017547365733333327,0.0017547365733333598,9.81438684143333,53.300000000000004,38.7,-133.1,0,0,0
2022-11-05 12:25:42.511008,-0.0020089466910976402,4.999641086442068e-05,0.007585819066610771,-0.017547365733333327,-0.0006380860266665955,9.82635095443333,51.7,38.7,-132.6,0,0,0
2022-11-05 12:25:42.520623,-0.0007817620607891273,-0.0004954189803838081,0.0014498959150682058,0.0015952150666666692,-0.005423731226666617,9.811994018833332,53.1,38.1,-132.3,0,0,0
2022-11-05 12:25:42.530210,-0.003099777473594096,-0.0033588497844370038,-0.002640719519293504,-0.015154543133333323,-0.01260219902666665,9.79045861543333,52.900000000000006,38.7,-133.0,0,0,0
2022-11-05 12:25:42.539808,-0.00037270051735295573,-0.0045860344147455176,-0.0003227041064885346,-0.012761720533333333,-0.01260219902666665,9.819172486633331,52.5,37.800000000000004,-131.9,0,0,0
2022-11-05 12:25:42.549430,0.0011271918085796711,0.0005954118021126494,-0.0015498887367970476,0.00398803766666667,-0.0006380860266665955,9.823958131833331,51.7,38.800000000000004,-133.1,0,0,0
2022-11-05 12:25:42.562987,0.0003090687217073289,-0.004176972871309346,0.001040834371632035,0.0015952150666666692,-0.010209376426666639,9.80242272843333,52.300000000000004,37.6,-132.3,0,0,0
2022-11-05 12:25:42.572595,0.001263545656391728,-0.0026770805453767196,0.003904265175685232,-0.01036889793333333,-0.010209376426666639,9.81438684143333,53.0,39.1,-132.6,0,0,0
2022-11-05 12:25:42.582849,-0.00023634666954089854,-0.0019953113063164336,0.0004954189803838068,-0.01036889793333333,0.008933204373333392,9.81677966403333,52.5,38.800000000000004,-132.3,0,0,0
2022-11-05 12:25:42.592455,0.003172499525760526,-0.0025407266975646624,0.0017226036106923201,-0.01036889793333333,-0.005423731226666617,9.78328014763333,52.1,37.9,-131.1,0,0,0
2022-11-05 12:25:42.602051,0.005081453395129324,0.001958950280233218,0.0011771882194440918,-0.01036889793333333,-0.01260219902666665,9.79763708323333,52.7,39.2,-131.4,0,0,0
